date,S&P500_close
2017/10/25,2557.15 
2017/10/26,2560.40 
2017/10/27,2581.07 
2017/10/30,2572.83 
2017/10/31,2575.26 
2017/11/1,2579.36 
2017/11/2,2579.85 
2017/11/3,2587.84 
2017/11/6,2591.13 
2017/11/7,2590.64 
2017/11/8,2594.38 
2017/11/9,2584.62 
2017/11/10,2582.30 
2017/11/13,2584.84 
2017/11/14,2578.87 
2017/11/15,2564.62 
2017/11/16,2585.64 
2017/11/17,2578.85 
2017/11/20,2582.14 
2017/11/21,2599.03 
2017/11/22,2597.08 
2017/11/24,2602.42 
2017/11/27,2601.42 
2017/11/28,2627.04 
2017/11/29,2626.07 
2017/11/30,2647.58 
2017/12/1,2642.22 
2017/12/4,2639.44 
2017/12/5,2629.57 
2017/12/6,2629.27 
2017/12/7,2636.98 
2017/12/8,2651.50 
2017/12/11,2659.99 
2017/12/12,2664.11 
2017/12/13,2662.85 
2017/12/14,2652.01 
2017/12/15,2675.81 
2017/12/18,2690.16 
2017/12/19,2681.47 
2017/12/20,2679.25 
2017/12/21,2684.57 
2017/12/22,2683.34 
2017/12/26,2680.50 
2017/12/27,2682.62 
2017/12/28,2687.54 
2017/12/29,2673.61 
2018/1/2,2695.81 
2018/1/3,2713.06 
2018/1/4,2723.99 
2018/1/5,2743.15 
2018/1/8,2747.71 
2018/1/9,2751.29 
2018/1/10,2748.23 
2018/1/11,2767.56 
2018/1/12,2786.24 
2018/1/16,2776.42 
2018/1/17,2802.56 
2018/1/18,2798.03 
2018/1/19,2810.30 
2018/1/22,2832.97 
2018/1/23,2839.13 
2018/1/24,2837.54 
2018/1/25,2839.25 
2018/1/26,2872.87 
2018/1/29,2853.53 
2018/1/30,2822.43 
2018/1/31,2823.81 
2018/2/1,2821.98 
2018/2/2,2762.13 
2018/2/5,2648.94 
2018/2/6,2695.14 
2018/2/7,2681.66 
2018/2/8,2581.00 
2018/2/9,2619.55 
2018/2/12,2656.00 
2018/2/13,2662.94 
2018/2/14,2698.63 
2018/2/15,2731.20 
2018/2/16,2732.22 
2018/2/20,2716.26 
2018/2/21,2701.33 
2018/2/22,2703.96 
2018/2/23,2747.30 
2018/2/26,2779.60 
2018/2/27,2744.28 
2018/2/28,2713.83 
2018/3/1,2677.67 
2018/3/2,2691.25 
2018/3/5,2720.94 
2018/3/6,2728.12 
2018/3/7,2726.80 
2018/3/8,2738.97 
2018/3/9,2786.57 
2018/3/12,2783.02 
2018/3/13,2765.31 
2018/3/14,2749.48 
2018/3/15,2747.33 
2018/3/16,2752.01 
2018/3/19,2712.92 
2018/3/20,2716.94 
2018/3/21,2711.93 
2018/3/22,2643.69 
2018/3/23,2588.26 
2018/3/26,2658.55 
2018/3/27,2612.62 
2018/3/28,2605.00 
2018/3/29,2640.87 
2018/4/2,2581.88 
2018/4/3,2614.45 
2018/4/4,2644.69 
2018/4/5,2662.84 
2018/4/6,2604.47 
2018/4/9,2613.16 
2018/4/10,2656.87 
2018/4/11,2642.19 
2018/4/12,2663.99 
2018/4/13,2656.30 
2018/4/16,2677.84 
2018/4/17,2706.39 
2018/4/18,2708.64 
2018/4/19,2693.13 
2018/4/20,2670.14 
2018/4/23,2670.29 
2018/4/24,2634.56 
2018/4/25,2639.40 
2018/4/26,2666.94 
2018/4/27,2669.91 
2018/4/30,2648.05 
2018/5/1,2654.80 
2018/5/2,2635.67 
2018/5/3,2629.73 
2018/5/4,2663.42 
2018/5/7,2672.63 
2018/5/8,2671.92 
2018/5/9,2697.79 
2018/5/10,2723.07 
2018/5/11,2727.72 
2018/5/14,2730.13 
2018/5/15,2711.45 
2018/5/16,2722.46 
2018/5/17,2720.13 
2018/5/18,2712.97 
2018/5/21,2733.01 
2018/5/22,2724.44 
2018/5/23,2733.29 
2018/5/24,2727.76 
2018/5/25,2721.33 
2018/5/29,2689.86 
2018/5/30,2724.01 
2018/5/31,2705.27 
2018/6/1,2734.62 
2018/6/4,2746.87 
2018/6/5,2748.80 
2018/6/6,2772.35 
2018/6/7,2770.37 
2018/6/8,2779.03 
2018/6/11,2782.00 
2018/6/12,2786.85 
2018/6/13,2775.63 
2018/6/14,2782.49 
2018/6/15,2779.66 
2018/6/18,2773.75 
2018/6/19,2762.59 
2018/6/20,2767.32 
2018/6/21,2749.76 
2018/6/22,2754.88 
2018/6/25,2717.07 
2018/6/26,2723.06 
2018/6/27,2699.63 
2018/6/28,2716.31 
2018/6/29,2718.37 
2018/7/2,2726.71 
2018/7/3,2713.22 
2018/7/5,2736.61 
