date,ust3MTH_close
2017/10/25,1.111
2017/10/26,1.108
2017/10/27,1.1
2017/10/29,1.1
2017/10/30,1.103
2017/10/31,1.154
2017/11/1,1.167
2017/11/2,1.167
2017/11/3,1.177
2017/11/5,1.179
2017/11/6,1.187
2017/11/7,1.218
2017/11/8,1.225
2017/11/9,1.233
2017/11/10,1.23
2017/11/12,1.23
2017/11/13,1.215
2017/11/14,1.271
2017/11/15,1.256
2017/11/16,1.261
2017/11/17,1.271
2017/11/19,1.269
2017/11/20,1.271
2017/11/21,1.31
2017/11/22,1.292
2017/11/23,1.302
2017/11/24,1.271
2017/11/26,1.292
2017/11/27,1.256
2017/11/28,1.297
2017/11/29,1.289
2017/11/30,1.269
2017/12/1,1.266
2017/12/3,1.266
2017/12/4,1.315
2017/12/5,1.315
2017/12/6,1.294
2017/12/7,1.292
2017/12/8,1.284
2017/12/10,1.289
2017/12/11,1.294
2017/12/12,1.343
2017/12/13,1.305
2017/12/14,1.315
2017/12/15,1.317
2017/12/16,1.322
2017/12/17,1.327
2017/12/18,1.348
2017/12/19,1.386
2017/12/20,1.384
2017/12/21,1.353
2017/12/22,1.335
2017/12/25,1.353
2017/12/26,1.345
2017/12/27,1.447
2017/12/28,1.407
2017/12/29,1.391
2018/1/1,1.391
2018/1/2,1.411
2018/1/3,1.404
2018/1/4,1.404
2018/1/5,1.404
2018/1/7,1.404
2018/1/8,1.414
2018/1/9,1.45
2018/1/10,1.424
2018/1/11,1.437
2018/1/12,1.445
2018/1/15,1.445
2018/1/16,1.429
2018/1/17,1.445
2018/1/18,1.44
2018/1/19,1.434
2018/1/22,1.424
2018/1/23,1.447
2018/1/24,1.44
2018/1/25,1.427
2018/1/26,1.422
2018/1/28,1.422
2018/1/29,1.409
2018/1/30,1.46
2018/1/31,1.465
2018/2/1,1.488
2018/2/2,1.486
2018/2/4,1.488
2018/2/5,1.493
2018/2/6,1.524
2018/2/7,1.547
2018/2/8,1.552
2018/2/9,1.562
2018/2/11,1.562
2018/2/12,1.572
2018/2/13,1.608
2018/2/14,1.588
2018/2/15,1.598
2018/2/16,1.608
2018/2/18,1.6
2018/2/19,1.608
2018/2/20,1.61
2018/2/21,1.647
2018/2/22,1.644
2018/2/23,1.644
2018/2/25,1.646
2018/2/26,1.646
2018/2/27,1.675
2018/2/28,1.659
2018/3/1,1.629
2018/3/2,1.644
2018/3/4,1.646
2018/3/5,1.667
2018/3/6,1.682
2018/3/7,1.685
2018/3/8,1.675
2018/3/9,1.675
2018/3/11,1.674
2018/3/12,1.682
2018/3/13,1.726
2018/3/14,1.754
2018/3/15,1.772
2018/3/16,1.779
2018/3/18,1.782
2018/3/19,1.769
2018/3/20,1.8
2018/3/21,1.746
2018/3/22,1.723
2018/3/23,1.728
2018/3/25,1.723
2018/3/26,1.746
2018/3/27,1.775
2018/3/28,1.736
2018/3/29,1.715
2018/4/1,1.731
2018/4/2,1.723
2018/4/3,1.754
2018/4/4,1.708
2018/4/5,1.713
2018/4/6,1.72
2018/4/8,1.718
2018/4/9,1.715
2018/4/10,1.736
2018/4/11,1.734
2018/4/12,1.746
2018/4/13,1.759
2018/4/15,1.756
2018/4/16,1.754
2018/4/17,1.792
2018/4/18,1.813
2018/4/19,1.826
2018/4/20,1.807
2018/4/22,1.807
2018/4/23,1.825
2018/4/24,1.867
2018/4/25,1.854
2018/4/26,1.828
2018/4/27,1.813
2018/4/29,1.813
2018/4/30,1.807
2018/5/1,1.854
2018/5/2,1.823
2018/5/3,1.831
2018/5/4,1.836
2018/5/6,1.833
2018/5/7,1.835
2018/5/8,1.874
2018/5/9,1.885
2018/5/10,1.89
2018/5/11,1.905
2018/5/13,1.902
2018/5/14,1.899
2018/5/15,1.915
2018/5/16,1.905
2018/5/17,1.907
2018/5/18,1.899
2018/5/20,1.894
2018/5/21,1.907
2018/5/22,1.938
2018/5/23,1.918
2018/5/24,1.905
2018/5/25,1.897
2018/5/28,1.899
2018/5/29,1.886
2018/5/30,1.923
2018/5/31,1.915
2018/6/1,1.91
2018/6/3,1.912
2018/6/4,1.91
2018/6/5,1.948
2018/6/6,1.941
2018/6/7,1.93
2018/6/8,1.925
2018/6/10,1.93
2018/6/11,1.912
2018/6/12,1.933
2018/6/13,1.936
2018/6/14,1.928
2018/6/15,1.933
2018/6/17,1.933
2018/6/18,1.927
2018/6/19,1.943
2018/6/20,1.933
2018/6/21,1.933
2018/6/22,1.915
2018/6/24,1.925
2018/6/25,1.899
2018/6/26,1.938
2018/6/27,1.92
2018/6/28,1.92
2018/6/29,1.92
2018/7/1,1.92
2018/7/2,1.935
2018/7/3,1.979
2018/7/4,1.972
2018/7/5,1.956
2018/7/6,1.951
2018/7/8,1.951
2018/7/9,1.961
2018/7/10,1.977
2018/7/11,1.961
2018/7/12,1.974
2018/7/13,1.971
2018/7/15,1.976
2018/7/16,1.981
2018/7/17,2.018
2018/7/18,2.002
2018/7/19,1.994
2018/7/20,1.979
2018/7/22,1.976
2018/7/23,1.966
2018/7/24,2.007
2018/7/25,2
2018/7/26,1.989
2018/7/27,1.992
2018/7/29,1.989
2018/7/30,1.991
2018/7/31,2.033
2018/8/1,2.025
2018/8/2,2.007
2018/8/3,2.007
2018/8/5,2.007
2018/8/6,2.014
2018/8/7,2.056
2018/8/8,2.056
2018/8/9,2.051
2018/8/10,2.045
2018/8/12,2.05
2018/8/13,2.043
2018/8/14,2.082
2018/8/15,2.069
2018/8/16,2.064
2018/8/17,2.043
2018/8/19,2.043
2018/8/20,2.04
2018/8/21,2.079
2018/8/22,2.084
2018/8/23,2.079
2018/8/24,2.094
2018/8/26,2.099
2018/8/27,2.109
2018/8/28,2.128
2018/8/29,2.125
2018/8/30,2.105
2018/8/31,2.104
2018/9/3,2.102
2018/9/4,2.117
2018/9/5,2.135
2018/9/6,2.13
2018/9/7,2.137
2018/9/9,2.14
2018/9/10,2.132
2018/9/11,2.153
2018/9/12,2.151
2018/9/13,2.143
2018/9/14,2.153
2018/9/16,2.153
