Date,Month,Milk
1995/1/31,1,589
1995/2/28,2,561
1995/3/31,3,640
1995/4/30,4,656
1995/5/31,5,727
1995/6/30,6,697
1995/7/31,7,640
1995/8/31,8,599
1995/9/30,9,568
1995/10/31,10,577
1995/11/30,11,553
1995/12/31,12,582
1996/1/31,13,600
1996/2/29,14,566
1996/3/31,15,653
1996/4/30,16,673
1996/5/31,17,742
1996/6/30,18,716
1996/7/31,19,660
1996/8/31,20,617
1996/9/30,21,583
1996/10/31,22,587
1996/11/30,23,565
1996/12/31,24,598
1997/1/31,25,628
1997/2/28,26,618
1997/3/31,27,688
1997/4/30,28,705
1997/5/31,29,770
1997/6/30,30,736
1997/7/31,31,678
1997/8/31,32,639
1997/9/30,33,604
1997/10/31,34,611
1997/11/30,35,594
1997/12/31,36,634
1998/1/31,37,658
1998/2/28,38,622
1998/3/31,39,709
1998/4/30,40,722
1998/5/31,41,782
1998/6/30,42,756
1998/7/31,43,702
1998/8/31,44,653
1998/9/30,45,615
1998/10/31,46,621
1998/11/30,47,602
1998/12/31,48,635
1999/1/31,49,677
1999/2/28,50,635
1999/3/31,51,736
1999/4/30,52,755
1999/5/31,53,811
1999/6/30,54,798
1999/7/31,55,735
1999/8/31,56,697
1999/9/30,57,661
1999/10/31,58,667
1999/11/30,59,645
1999/12/31,60,688
2000/1/31,61,713
2000/2/29,62,667
2000/3/31,63,762
2000/4/30,64,784
2000/5/31,65,837
2000/6/30,66,817
2000/7/31,67,767
2000/8/31,68,722
2000/9/30,69,681
2000/10/31,70,687
2000/11/30,71,660
2000/12/31,72,698
2001/1/31,73,717
2001/2/28,74,696
2001/3/31,75,775
2001/4/30,76,796
2001/5/31,77,858
2001/6/30,78,826
2001/7/31,79,783
2001/8/31,80,740
2001/9/30,81,701
2001/10/31,82,706
2001/11/30,83,677
2001/12/31,84,711
2002/1/31,85,734
2002/2/28,86,690
2002/3/31,87,785
2002/4/30,88,805
2002/5/31,89,871
2002/6/30,90,845
2002/7/31,91,801
2002/8/31,92,764
2002/9/30,93,725
2002/10/31,94,723
2002/11/30,95,690
2002/12/31,96,734
2003/1/31,97,750
2003/2/28,98,707
2003/3/31,99,807
2003/4/30,100,824
2003/5/31,101,886
2003/6/30,102,859
2003/7/31,103,819
2003/8/31,104,783
2003/9/30,105,740
2003/10/31,106,747
2003/11/30,107,711
2003/12/31,108,751
2004/1/31,109,804
2004/2/29,110,756
2004/3/31,111,860
2004/4/30,112,878
2004/5/31,113,942
2004/6/30,114,913
2004/7/31,115,869
2004/8/31,116,834
2004/9/30,117,790
2004/10/31,118,800
2004/11/30,119,763
2004/12/31,120,800
2005/1/31,121,826
2005/2/28,122,799
2005/3/31,123,890
2005/4/30,124,900
2005/5/31,125,961
2005/6/30,126,935
2005/7/31,127,894
2005/8/31,128,855
2005/9/30,129,809
2005/10/31,130,810
2005/11/30,131,766
2005/12/31,132,805
2006/1/31,133,821
2006/2/28,134,773
2006/3/31,135,883
2006/4/30,136,898
2006/5/31,137,957
2006/6/30,138,924
2006/7/31,139,881
2006/8/31,140,837
2006/9/30,141,784
2006/10/31,142,791
2006/11/30,143,760
2006/12/31,144,802
2007/1/31,145,828
2007/2/28,146,778
2007/3/31,147,889
2007/4/30,148,902
2007/5/31,149,969
2007/6/30,150,947
2007/7/31,151,908
2007/8/31,152,867
2007/9/30,153,815
2007/10/31,154,812
2007/11/30,155,773
2007/12/31,156,813
2008/1/31,157,834
2008/2/29,158,782
2008/3/31,159,892
2008/4/30,160,903
2008/5/31,161,966
2008/6/30,162,937
2008/7/31,163,896
2008/8/31,164,858
2008/9/30,165,817
2008/10/31,166,827
2008/11/30,167,797
2008/12/31,168,843
